season,slot,time_scenario,K_time
winter,morning,scenario_1,0.5167
winter,morning,scenario_2,0.6972
winter,morning,scenario_3,0.3917
winter,day,scenario_1,1.0
winter,day,scenario_2,1.0
winter,day,scenario_3,1.0
winter,evening,scenario_1,1.0
winter,evening,scenario_2,1.0
winter,evening,scenario_3,1.0
winter,night,scenario_1,0.6958
winter,night,scenario_2,0.8146
winter,night,scenario_3,0.6104
summer,morning,scenario_1,0.0
summer,morning,scenario_2,0.0
summer,morning,scenario_3,0.0
summer,day,scenario_1,0.0
summer,day,scenario_2,0.0
summer,day,scenario_3,0.0
summer,evening,scenario_1,0.0
summer,evening,scenario_2,0.0
summer,evening,scenario_3,0.0
summer,night,scenario_1,0.0
summer,night,scenario_2,0.0
summer,night,scenario_3,0.0
midseason,morning,scenario_1,0.0583
midseason,morning,scenario_2,0.0861
midseason,morning,scenario_3,0.0403
midseason,day,scenario_1,0.6569
midseason,day,scenario_2,0.7444
midseason,day,scenario_3,0.5819
midseason,evening,scenario_1,0.7917
midseason,evening,scenario_2,0.8917
midseason,evening,scenario_3,0.7063
midseason,night,scenario_1,0.15
midseason,night,scenario_2,0.1917
midseason,night,scenario_3,0.1187
