zone_group,activity_type,total,rank_1,rank_0,polygon,point
Industrial,leisure_culture,1,0,1,0,1
Industrial,services_retail,2,0,2,0,2
Outside,recreation,1,1,0,1,0
Outside,services_retail,1,1,0,1,0
Public,administration_business,14,12,2,7,7
Public,child_activity,1,1,0,1,0
Public,education,4,4,0,0,4
Public,healthcare,8,2,6,2,6
Public,leisure_culture,21,2,19,8,13
Public,recreation,1,1,0,1,0
Public,services_retail,23,3,20,6,17
Public,sport,3,3,0,3,0
Public,transit,1,1,0,0,1
Recreation,child_activity,1,1,0,0,1
Recreation,leisure_culture,1,0,1,0,1
Recreation,recreation,4,4,0,4,0
Recreation,services_retail,1,0,1,0,1
Recreation,sport,4,4,0,4,0
Residential,child_activity,9,9,0,9,0
Residential,education,9,9,0,8,1
Residential,healthcare,3,0,3,0,3
Residential,leisure_culture,1,0,1,0,1
Residential,services_retail,4,0,4,0,4
Residential,sport,5,4,1,4,1
Special_Restricted,leisure_culture,1,0,1,0,1
Special_Restricted,recreation,4,4,0,4,0
